Hash;Title;Link;Description;Category;KeyWords;Published;LastUpdated;Author;Source;Paywall
1d5224212139a70a9e5d9e60e01d4b64226c55ae7e56f49928cd019f81e1cfb7;Straftaten gegen Frauen nehmen in allen Bereichen zu;https://www.zeit.de/gesellschaft/zeitgeschehen/2024-11/bundeslagebericht-straftaten-frauen-sexualdelikt-haeusliche-gewalt-menschenhandel;Sexualdelikte, häusliche Gewalt und Menschenhandel: Die Zahl der weiblichen Opfer ist laut Bundeskriminalamt gestiegen. Besonders bei digitaler Gewalt gibt es mehr Fälle.;"Z+ (abopflichtiger Inhalt);
        
    
Bundeslagebericht";Gesellschaft, Bundeslagebericht, BKA, Straftat, Sexualdelikt, Bundeslagebericht, Menschenhandel;2024-11-19T10:02:51+01:00;2024-11-19T10:02:51+01:00;als;ZEIT ONLINE,        AFP,        							als;false
09ed38712751ae8ffc2fef7f68b20e995a24ea0c03221e07ea5f992fe33bcd90;Na endlich! Das Paloma-Viertel am Spielbudenplatz soll gebaut werden;https://www.zeit.de/hamburg/2024-11/elbvertiefung-19-11-2024;Das Grundstück lag jahrelang brach. Und: Moia startet autonom fahrende Sammeltaxen, Die Deutsche Bahn sieht sich bei der Sanierung der Strecke Hamburg–Berlin im Zeitplan;"Z+ (abopflichtiger Inhalt);
        
    
Esso-Gelände";Hamburg, Esso-Gelände, Olaf Scholz, Malte Heyne, Kristina Läsker, Esso, Hamburg, Berlin, Aserbaidschan, Baku, Stockholm, Rotterdam;2024-11-19T10:00:07+01:00;2024-11-19T10:00:07+01:00;Kristina Läsker;;false
33e49555f7c702cc860cf54ee67189c3bba7b42051be0c0e3ae1274b0c997fa8;Betreiber widerspricht Söders Aussage zur Zukunft von Isar 2;https://www.zeit.de/news/2024-11/19/betreiber-widerspricht-soeders-aussage-zur-zukunft-von-isar-2;Hier finden Sie Informationen zu dem Thema „Debatte über Kernkraft“. Lesen Sie jetzt „Betreiber widerspricht Söders Aussage zur Zukunft von Isar 2“.;"Z+ (abopflichtiger Inhalt);
        
    
Debatte über Kernkraft";News, Debatte über Kernkraft, Guido Knott, Markus Söder, Landshut, München, Isar, PreussenElektra, Deutsche Presse-Agentur, Kernkraft, Rückbau, Wiederinbetriebnahme;2024-11-19T09:56:55+01:00;2024-11-19T09:56:55+01:00;;dpa Bayern;false
a311260fdae7332993d42b3e1b7d9da11d42a14f078b213d462d4768b47f6cb7;Georgische Polizei räumt Protestcamp nach umstrittener Parlamentswahl;https://www.zeit.de/politik/ausland/2024-11/georgien-proteste-wahl-parlament-tiflis;In Georgien fordern Tausende eine Wiederholung der Parlamentswahl und werfen der prorussischen Regierung Betrug vor. Nun ging die Polizei gewaltsam gegen Proteste vor.;"Z+ (abopflichtiger Inhalt);
        
    
Georgien";Politik, Georgien, Georgien, Tiflis, Polizei, Parlamentswahl, Protestcamp, Wiederholung, Betrug;2024-11-19T09:54:24+01:00;2024-11-19T09:54:24+01:00;lk;ZEIT ONLINE,        dpa,        							lk;false
b4e2394813b6566ff572c44e482729921141cda476d583c92ecb30a0b0fc608b;Erneute Festnahme und neue Vorwürfe gegen Mette-Marits Sohn;https://www.zeit.de/news/2024-11/19/erneute-festnahme-und-neue-vorwuerfe-gegen-mette-marits-sohn;Hier finden Sie Informationen zu dem Thema „Königsfamilie“. Lesen Sie jetzt „Erneute Festnahme und neue Vorwürfe gegen Mette-Marits Sohn“.;"Z+ (abopflichtiger Inhalt);
        
    
Königsfamilie";News, Königsfamilie, Borg Høiby, Mette-Marit Tjessem Høiby, Oslo, Polizei, Festnahme, Königsfamilie, Auto;2024-11-19T09:51:20+01:00;2024-11-19T09:51:20+01:00;;dpa;false
1fbbfa60299876ce1d79ef14a0ed1a07e2eb061b9b55e9ed8bd2c60f1bbeda28;Nächste Ministerpräsidentenkonferenz ohne Kanzler Scholz;https://www.zeit.de/news/2024-11/19/naechste-ministerpraesidentenkonferenz-ohne-kanzler-scholz;Hier finden Sie Informationen zu dem Thema „Ländertreffen“. Lesen Sie jetzt „Nächste Ministerpräsidentenkonferenz ohne Kanzler Scholz“.;"Z+ (abopflichtiger Inhalt);
        
    
Ländertreffen";News, Ländertreffen, Olaf Scholz, SPD, Ländertreffen, Ministerpräsidentenkonferenz;2024-11-19T09:50:25+01:00;2024-11-19T09:50:25+01:00;;dpa Sachsen;false
91c7b54b90a172d7f323a72632ae2b7ea48fdadfe903d45f4302c4382ae6b3c4;Mann stirbt bei Verkehrsunfall bei Segeberg;https://www.zeit.de/news/2024-11/19/mann-stirbt-bei-verkehrsunfall-bei-segeberg;Hier finden Sie Informationen zu dem Thema „Tödlicher Unfall“. Lesen Sie jetzt „Mann stirbt bei Verkehrsunfall bei Segeberg“.;"Z+ (abopflichtiger Inhalt);
        
    
Tödlicher Unfall";News, Tödlicher Unfall, Segeberg, Verkehrsunfall, Unfall, Auto;2024-11-19T09:49:44+01:00;2024-11-19T09:49:44+01:00;;dpa Hamburg/Schleswig-Holstein;false
d819b650a1a2a194870e3a0ffea13a9c2ae19e3afcef68bee23472edf6293047;"""Was jetzt?"" – Der große Jahresrückblick 2024";https://www.zeit.de/gesellschaft/2024-08/zeit-podcast-tour-finale-live-berlin-was-jetzt-verbrechen-alles-gesagt;"Das Ampel-Aus, die US-Wahl, Olympia und die Weltlage: Der Nachrichtenpodcast ""Was jetzt?"" schaut mit Gästen auf das Jahr 2024. Sichern Sie sich jetzt die letzten Tickets.";"Z+ (abopflichtiger Inhalt);
        
    
ZEIT Podcast-Tour";Gesellschaft, ZEIT Podcast-Tour, Berlin, Tournee, Journalismus;2024-11-19T09:48:22+01:00;2024-11-19T09:48:22+01:00;;;false
eb45399b6b2c0b69b629b0689d744861fbc002c71ed55790019fc7c3419751f0;Mützenich will erneut für den Bundestag kandidieren;https://www.zeit.de/politik/deutschland/2024-11/muetzenich-rolf-bundestag-spd-fraktionschef-wahl-2025;Der SPD-Fraktionschef Rolf Mützenich will laut Medienberichten doch nochmal Wahlkampf machen. Er gilt als Unterstützer von Bundeskanzler Olaf Scholz. ;"Z+ (abopflichtiger Inhalt);
        
    
Bundestagswahl 2025";Politik, Bundestagswahl 2025, Rolf Mützenich, Olaf Scholz, Bundestagswahl, SPD, Deutscher Bundestag, Neuwahl;2024-11-19T09:47:12+01:00;2024-11-19T09:47:12+01:00;sko;ZEIT ONLINE,        							sko;false
43b9530683bab2f92e8e730a9f803c5f6ebea21dadc6517794119e67dadaf1da;Deutsche Kunst und Identität, von Ferne betrachtet;https://www.zeit.de/kultur/kunst/2024-11/made-in-germany-kunst-ausstellung-harvard-art-museums;Die Harvard Art Museums in Boston zeigen in einer großen Ausstellung zeitgenössische Kunst aus Deutschland. Die Schau erkundet, wer oder was das Land heute repräsentiert.;"Z+ (abopflichtiger Inhalt);
        
    
""Made in Germany?""";"Kultur, ""Made in Germany?"", Kunst, Boston, Bundesrepublik Deutschland, Identität, Hans Haacke, Kunstwerk";2024-11-19T09:44:26+01:00;2024-11-19T09:44:26+01:00;Robert Schlücker;;false
