Hash;Title;Link;Description;Category;KeyWords;Published;LastUpdated;Author;Source;Paywall
2242b7f50998460086c40af2920478a376800834dba90f466fb2e3b7ee27ac2b;LA Lakers holen Sohn von LeBron James ins Team;https://www.zeit.de/sport/2024-06/nba-lebron-james-bronny-los-angeles-lakers;Bronny James ist von den Los Angeles Lakers beim NBA-Draft gewählt worden. Ein gemeinsamer Auftritt mit seinem Vater, Basketball-Superstar LeBron James, wäre historisch.;"Z+ (abopflichtiger Inhalt);
        
    
Basketball";Sport, Basketball, Lebron James, Los Angeles Lakers, NBA, Basketball, Basketball-Superstar;2024-06-28T10:53:23+02:00;2024-06-28T10:53:23+02:00;;ZEIT ONLINE,        dpa,        mcr;false
7989f86014c0e859c001058325949237ae151beea93c6c46ca946414d68837ef;Wirtschaftsministerium plant Ausbau der Erdwärmeversorgung;https://www.zeit.de/wirtschaft/unternehmen/2024-06/bundeswirtschaftsministerium-gesetzentwurf-erdwaerme-ausbau-geothermie;Genehmigungen für Wärmepumpen dauern laut Bundeswirtschaftsministerium zu lange. Durch weniger rechtliche Hürden will es den Ausbau der Erdwärmeversorgung beschleunigen.;"Z+ (abopflichtiger Inhalt);
        
    
Geothermie";Wirtschaft, Geothermie, Bundeswirtschaftsministerium, BMWi, Erdwärmeversorgung, Wärmepumpe, Erdwärme, Reduktion, Ausbau, Genehmigung;2024-06-28T10:53:09+02:00;2024-06-28T10:53:09+02:00;;ZEIT ONLINE,        dpa,        AFP,        mmh;false
54ad41a262b7501d35e14729b0e7c69b0d87c882961a3227dd8d182031c01a46;Nach Unfall mit Reisebus auf A24 Sperrung aufgehoben;https://www.zeit.de/news/2024-06/28/unfall-mit-reisebus-auf-a24-16-menschen-verletzt;Hier finden Sie Informationen zu dem Thema „Mecklenburg-Vorpommern“. Lesen Sie jetzt „Nach Unfall mit Reisebus auf A24 Sperrung aufgehoben“.;"Z+ (abopflichtiger Inhalt);
        
    
Mecklenburg-Vorpommern";News, Mecklenburg-Vorpommern, Hamburg, Polizei, Unfall, Reisebus, Verkehr;2024-06-28T10:52:58+02:00;2024-06-28T10:52:58+02:00;;dpa;false
b5c1ee1dd735013557c4b785c533ab278865aaf5c81925b6f83768fe0553d7b4;Frühjahrsbelebung auf Arbeitsmarkt im Norden setzt sich fort;https://www.zeit.de/news/2024-06/28/zahl-der-arbeitslosen-in-schleswig-holstein-leicht-gesunken;Hier finden Sie Informationen zu dem Thema „Beschäftigung“. Lesen Sie jetzt „Frühjahrsbelebung auf Arbeitsmarkt im Norden setzt sich fort“.;"Z+ (abopflichtiger Inhalt);
        
    
Beschäftigung";News, Beschäftigung, Schleswig-Holstein, Bundesagentur für Arbeit;2024-06-28T10:44:29+02:00;2024-06-28T10:44:29+02:00;;dpa Hamburg/Schleswig-Holstein;false
86869c8ab08da8b2a84b55b44594a677bd235d2fc8a4baf8a958860dc082d15b;Schwab wird neuer Fraktionschef der Freien Wähler;https://www.zeit.de/news/2024-06/27/vorstandswahl-der-freien-waehler-wer-setzt-sich-durch;Hier finden Sie Informationen zu dem Thema „Landtag“. Lesen Sie jetzt „Schwab wird neuer Fraktionschef der Freien Wähler“.;"Z+ (abopflichtiger Inhalt);
        
    
Landtag";News, Landtag, Joachim Streit, Stephan Wefelscheid, Mainz, Brüssel, FW, Europäisches Parlament, Vorstandswahl, Landtag, Landtagsfraktion;2024-06-28T10:43:52+02:00;2024-06-28T10:43:52+02:00;;dpa Rheinland-Pfalz/Saarland;false
9272862da505a27cdff61cd0f641d5045dd3519b3a2ac5435e6280503060e237;Ohne Ball verloren;https://www.zeit.de/2024/28/spielstil-nationalmannschaft-fussball-europameisterschaft;Das Spiel der Deutschen ist ein Spektakel. Aber vor dem Achtelfinale der Fußball-EM gegen Dänemark wachsen die Zweifel: Wie gut sind sie wirklich? ;"Z+ (abopflichtiger Inhalt);
        
    
Spielstil der Nationalmannschaft";Sport, Spielstil der Nationalmannschaft, Fußball-EM, Dänemark, Maximilian Mittelstädt, Toni Kroos, Manuel Neuer, Julian Nagelsmann;2024-06-28T10:43:39+02:00;2024-06-28T10:43:39+02:00;Peter Kümmel;Aus der        ZEIT Nr. 28/2024;false
74bae14ee06e5933ec5c6535f8fbce66918d7e3e677e0325194b11761d88f0c7;Steigerung nötig: Italien will EM-Revanche am Sehnsuchtsort;https://www.zeit.de/news/2024-06/28/steigerung-noetig-italien-will-em-revanche-am-sehnsuchtsort;Hier finden Sie Informationen zu dem Thema „Achtelfinale gegen die Schweiz“. Lesen Sie jetzt „Steigerung nötig: Italien will EM-Revanche am Sehnsuchtsort“.;"Z+ (abopflichtiger Inhalt);
        
    
Achtelfinale gegen die Schweiz";News, Achtelfinale gegen die Schweiz, Luciano Spalletti, Murat Yakin, Michel Aebischer, Riccardo Calafiori, Italien, Schweiz, Kroatien, Berlin, Iserlohn, RTL;2024-06-28T10:38:58+02:00;2024-06-28T10:38:58+02:00;;dpa Sport;false
fa562575b208a3e4a98af3c8c963c691e55ba6a8b06c87a0f5c7e76edd7d8f34;Geht doch;https://www.zeit.de/politik/ausland/2024-06/eu-gipfel-bruessel-ursula-von-der-leyen-kommissionspraesidentin;Nur einen Verhandlungstag brauchen die Staats- und Regierungschefs für die Grundzüge des neuen Europas. Ihr Personaltableau ist ausgewogen, die strategische Absicht klar.;"Z+ (abopflichtiger Inhalt);
        
    
EU-Gipfel";Politik, EU-Gipfel, Europa, EU-Gipfel, Ursula von der Leyen, Europäisches Parlament, Giorgia Meloni, Krieg in der Ukraine;2024-06-28T10:37:28+02:00;2024-06-28T10:37:28+02:00;Ulrich Ladurner;;false
a6b47eee92389b3364dfd6e7b4db51a98d1926f64cc403c791f93ec239759664;Kreativer Protest: Demos gegen AfD-Parteitag beginnen;https://www.zeit.de/news/2024-06/28/reul-rechnet-mit-80-000-demonstranten-zum-afd-parteitag;Hier finden Sie Informationen zu dem Thema „Essen“. Lesen Sie jetzt „Kreativer Protest: Demos gegen AfD-Parteitag beginnen“.;"Z+ (abopflichtiger Inhalt);
        
    
Essen";News, Essen, Herbert Reul, Nordrhein-Westfalen, Alternative für Deutschland, Parteitag;2024-06-28T10:35:58+02:00;2024-06-28T10:35:58+02:00;;dpa Nordrhein-Westfalen;false
a9f0d2bf3bea9d25a0d877f6b1ea6087260201e94c609acf6f7aff86d774f6b3;"Klage gegen ""Sun"": Rückschlag für Prinz Harry";https://www.zeit.de/news/2024-06/28/klage-gegen-sun-rueckschlag-fuer-prinz-harry;"Hier finden Sie Informationen zu dem Thema „Medien“. Lesen Sie jetzt „Klage gegen ""Sun"": Rückschlag für Prinz Harry“.";"Z+ (abopflichtiger Inhalt);
        
    
Medien";News, Medien, Prinz Harry, König Charles, London, Sun Microsystems, Informationsbeschaffung;2024-06-28T10:29:58+02:00;2024-06-28T10:29:58+02:00;;dpa;false
