Hash;Title;Link;Description;Category;KeyWords;Published;LastUpdated;Author;Source;Paywall
bf526cb97eb0f06194bbdb9a7076169df00117e0008e3a210b17e5a4ae73e590;Hessen ganz süß: Die traditionellen Leckereien;https://www.zeit.de/news/2024-12/16/hessen-ganz-suess-die-traditionellen-leckereien;Hier finden Sie Informationen zu dem Thema „Süßes aus Tradition“. Lesen Sie jetzt „Hessen ganz süß: Die traditionellen Leckereien“.;Süßes aus Tradition;News, Süßes aus Tradition, Jesco Mann, Tanja Gabriel, Herborn, Hessen, Conditcouture, Leckerei, Schleckermaul, Süßigkeit, Tradition, Bäckerei;2024-12-16T10:00:37+01:00;2024-12-16T10:00:37+01:00;;dpa Hessen;false
0839750ffcb39d4a0239fc3484ae4d3c6f5dc5fec5aa6a2ceec1a4650104dbfa;Das Team leiten? Auf keinen Fall!;https://www.zeit.de/arbeit/2024-12/fuehrungskraeftemangel-deutschland-unternehmen-karriere-leadership;Chefin oder Chef zu sein, war lange der Inbegriff von Aufstieg. Doch heute sagen immer mehr Beschäftigte: Ohne mich! Warum Führung so unbeliebt geworden ist.;"Z+ (abopflichtiger Inhalt);
        
    
Führungskräftemangel";Arbeit, Führungskräftemangel, Unternehmen, Arbeitsmarkt, Familie, Karriere, Wertschätzung, Führungsposition;2024-12-16T10:00:20+01:00;2024-12-16T10:00:20+01:00;David Gutensohn;;false
e8081ea3dd486de4c40017d5323dad1da828ada86b5abff1067152a64cc4e895;Die Ergebnisse der Wahlumfrage von Radio Hamburg und ZEIT:Hamburg;https://www.zeit.de/hamburg/2024-12/elbvertiefung-16-12-2024;Wenn Hamburg gewählt hätte: Eine repräsentative Onlinebefragung zeigt, welche Partei vorn liegt. Und: Hamburg bekommt 95 neue Elektrobusse;Trend Research;Hamburg, Trend Research, Olaf Scholz, Annika Lasarzik, Jan van Aken, Dieter Becken, René Benko, Anjes Tjarks, Hamburg, Berlin, Hamburg-Holstein, ZEIT;2024-12-16T10:00:06+01:00;2024-12-16T10:00:06+01:00;Annika Lasarzik;;false
7959a70d45e47bb8f2af715729d43210e14568e7a848613f9c60f09fe2bfbf80;Erster Mastbruch bei der Vendée Globe;https://www.zeit.de/news/2024-12/16/erster-mastbruch-bei-der-vend-e-globe;Hier finden Sie Informationen zu dem Thema „Weltumseglung“. Lesen Sie jetzt „Erster Mastbruch bei der Vendée Globe“.;Weltumseglung;News, Weltumseglung, Boris Herrmann, Australien, Indischen Ozean, Vendée Globe, Mastbruch, Weltumseglung, Renntag;2024-12-16T09:57:58+01:00;2024-12-16T09:57:58+01:00;;dpa Hamburg/Schleswig-Holstein;false
90a19aa9a8dfabcbed580f9c1ba55863c3de6a7036e2668b96b3447bee5e71ba;Mehr Wohnungen in Hamburg als vor 20 Jahren;https://www.zeit.de/news/2024-12/16/mehr-wohnungen-in-hamburg-als-vor-20-jahren;Hier finden Sie Informationen zu dem Thema „Eigene vier Wände“. Lesen Sie jetzt „Mehr Wohnungen in Hamburg als vor 20 Jahren“.;Eigene vier Wände;News, Eigene vier Wände, Hamburg;2024-12-16T09:57:49+01:00;2024-12-16T09:57:49+01:00;;dpa Hamburg/Schleswig-Holstein;false
01322277dba53e539ceaf5fb4a658066613f31718f80dc4677855956e46062f7;Zeitungsbote in Göldenitz angefahren – Polizei sucht Täter;https://www.zeit.de/news/2024-12/16/zeitungsbote-in-goeldenitz-angefahren-polizei-sucht-taeter;Hier finden Sie Informationen zu dem Thema „Verkehrsunfall“. Lesen Sie jetzt „Zeitungsbote in Göldenitz angefahren – Polizei sucht Täter“.;Verkehrsunfall;News, Verkehrsunfall, Göldenitz, Polizei, Verkehrsunfall;2024-12-16T09:54:12+01:00;2024-12-16T09:54:12+01:00;;dpa Mecklenburg-Vorpommern;false
bd878cd529e49e1fd617674e6d69a413cbcf9be2976500f0f9fdf8a89c3c39f9;Sturm sorgt für Bahnausfälle um Hamburg;https://www.zeit.de/news/2024-12/16/sturm-sorgt-fuer-bahnausfaelle-um-hamburg;Hier finden Sie Informationen zu dem Thema „Bahnverkehr“. Lesen Sie jetzt „Sturm sorgt für Bahnausfälle um Hamburg“.;Bahnverkehr;News, Bahnverkehr, Hamburg, Schleswig-Holstein, Ahrensburg-Bargteheide, Ahrensburg, DB, Deutsche Bahn, X, Bahnausfall, Bahnverkehr, Sperrung;2024-12-16T09:53:45+01:00;2024-12-16T09:53:45+01:00;;dpa Hamburg/Schleswig-Holstein;false
44e096f3aadeaeccd7693957088a80602b2965f6783b14b850bda1d88e63b6dd;Merz rechnet mit SPD-Ergebnis über 20 Prozent;https://www.zeit.de/news/2024-12/16/merz-rechnet-mit-spd-ergebnis-ueber-20-prozent;Hier finden Sie Informationen zu dem Thema „Bundestagswahlkampf“. Lesen Sie jetzt „Merz rechnet mit SPD-Ergebnis über 20 Prozent“.;Bundestagswahlkampf;News, Bundestagswahlkampf, Friedrich Merz, Markus Söder, SPD, CDU, Unionsfraktion, Deutscher Bundestag, Bundestagswahl, Bundestagswahlkampf, Podcast, Wahlprogramm;2024-12-16T09:51:35+01:00;2024-12-16T09:51:35+01:00;;dpa;false
6323b24b878eb25ca55fabef56a36c162eda00756aeafe9d0a8a69afed2ace28;Und wer hat hier das letzte Wort?;https://www.zeit.de/zeit-fuer-unternehmer/2024/03/jobsharing-fachkraeftemangel-edding-vorstand;Fränzi Kühne und Boontham Temaismithi teilen sich beim Stiftehersteller Edding einen Vorstandsposten. Sieben Regeln, damit Jobsharing funktioniert;"Z+ (abopflichtiger Inhalt);
        
    
Jobsharing";Arbeit, Jobsharing, Chef, Arbeitnehmer, Fachkräftemangel, Vorstand, Unternehmen, Arbeitsbedingung;2024-12-16T09:46:34+01:00;2024-12-16T09:46:34+01:00;Catalina Schröder;Aus        ZEIT für Unternehmer Nr. 03/2024;false
397334d0e5931373d463aebc426331435a53e9b1e676511bb82d2f44caca871c;CDU-Chef Merz: Wahlprogramm ist seriös finanziert;https://www.zeit.de/news/2024-12/15/cdu-chef-merz-wahlprogramm-ist-serioes-finanziert;Hier finden Sie Informationen zu dem Thema „Unionswahlkampf“. Lesen Sie jetzt „CDU-Chef Merz: Wahlprogramm ist seriös finanziert“.;Unionswahlkampf;News, Unionswahlkampf, Friedrich Merz, Berlin, CDU, CSU, Unionsfraktion, ARD, SPD, Unionswahlkampf, Entlastungsversprechen, Gegenrechnung;2024-12-16T09:46:01+01:00;2024-12-16T09:46:01+01:00;;dpa;false
